Year,Revenue
2002,150.8
2002,270.4
2002,500.6
2002,682.2
2002,996.7
2002,1205.3
2002,1354.7
2009,1670.3
2010,2162.6
2011,3204.6
2012,3609.3
2013,4374.56
2014,5504.66
2015,6779.51
2016,8830.67
2017,11692.71
2018,15794.34
2019,20156.45
